,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,suburb,weekly_rent,year,month
8,"108 ADELAIDE STREET, CHEWTON",-37.093186,144.254132,2,1,2,$250_pw,Residential Lease,2010-10-01,3451,CHEWTON,250,2010,10
52,"224 MAIN ROAD, CHEWTON",-37.0800585,144.2635775,1,1,0,$200_pw,House,2010-01-01,3451,CHEWTON,200,2010,1
115,"12 FRYERS ROAD, CHEWTON",-37.082726,144.256496,3,1,1,$220_pw,House,2010-05-01,3451,CHEWTON,220,2010,5
256,"9 PIZZEY STREET, CHILDERS",-25.233695,152.276337,3,1,1,$235_pw,none,2010-10-01,3824,CHILDERS,235,2010,10
257,"19 WEST STREET, CHILDERS",-25.234515,152.275467,3,1,0,$270_pw,House,2010-08-01,3824,CHILDERS,270,2010,8
258,"19 WEST STREET, CHILDERS",-25.234515,152.275467,3,1,0,$270_pw,House,2010-08-01,3824,CHILDERS,270,2010,8
597,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3,1,1,$320_pw,House,2010-03-01,3116,PARK,320,2010,3
647,"5 YARRARIDGE DRIVE, CHIRNSIDE PARK",-37.757684,145.305604,3,1,2,$340_pw,House,2010-12-01,3116,PARK,340,2010,12
809,"55 CHIRNSIDE DRIVE, CHIRNSIDE PARK",-37.754336,145.320414,4,2,2,$380_pw,House,2010-02-01,3116,PARK,380,2010,2
856,"56 MUIR ROAD, CHRISTMAS HILLS",-37.657453,145.338221,2,1,0,$300_per_week,Rental_residential,2010-07-01,3775,HILLS,300,2010,7
947,"585 CHUM CREEK ROAD, CHUM CREEK",-37.64491085,145.49757232,3,1,4,$375_per_week,House,2010-03-01,3777,CREEK,375,2010,3
948,"585 CHUM CREEK ROAD, CHUM CREEK",-37.64491085,145.49757232,3,1,4,$375_per_week,House,2010-03-01,3777,CREEK,375,2010,3
1031,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4,2,2,$300_per_week,none,2010-12-01,3842,CHURCHILL,300,2010,12
1149,"5 AMAROO DRIVE, CHURCHILL",-38.323465,146.422057,3,1,1,$200_pw,none,2010-09-01,3842,CHURCHILL,200,2010,9
1265,"31 DAVANZO AVENUE, CLARINDA",-37.944702,145.105229,3,1,2,$400,none,2010-04-01,3169,CLARINDA,400,2010,4
1482,"20 CRAWFORD ROAD, CLARINDA",-37.929396,145.101594,2,1,1,$290,House,2010-04-01,3169,CLARINDA,290,2010,4
1585,"430 WEBSTERS ROAD, CLARKEFIELD",-37.480097,144.737853,5,2,4,$380_per_week,House,2010-02-01,3430,CLARKEFIELD,380,2010,2
1609,"600 KONAGADERRA ROAD, CLARKEFIELD",-37.515177,144.783865,3,1,0,$400_per_week,House,2010-03-01,3430,CLARKEFIELD,400,2010,3
1645,"554 HEATHS LANE, CLARKEFIELD",-37.460714,144.804313,3,1,2,$250_pw,House,2010-04-01,3430,CLARKEFIELD,250,2010,4
1658,"0 HEATHS LANE, CLARKEFIELD",-37.453903,144.752682,3,1,0,$230_per_week,none,2010-08-01,3430,CLARKEFIELD,230,2010,8
1659,"0 HEATHS LANE, CLARKEFIELD",-37.453903,144.752682,3,1,0,$230_per_week,none,2010-08-01,3430,CLARKEFIELD,230,2010,8
1660,"1 GATEHOUSE, BOLINDA VALE, CLARKEFIELD",-37.4487718,144.6856322,3,1,1,$200_per_week,none,2010-08-01,3430,CLARKEFIELD,200,2010,8
1661,"1 GATEHOUSE, BOLINDA VALE, CLARKEFIELD",-37.4487718,144.6856322,3,1,1,$200_per_week,none,2010-08-01,3430,CLARKEFIELD,200,2010,8
1662,"COTTAGE/ 1556 MELBOURNE-LANCEFIELD ROAD, CLARKEFIELD",-37.4757072,144.7495857,3,1,1,$185_per_week,none,2010-03-01,3430,CLARKEFIELD,185,2010,3
1663,"COTTAGE/ 1556 MELBOURNE-LANCEFIELD ROAD, CLARKEFIELD",-37.4757072,144.7495857,3,1,1,$185_per_week,none,2010-03-01,3430,CLARKEFIELD,185,2010,3
1992,"12 BOTANIC DRIVE, CLAYTON SOUTH",-37.939354,145.13641,3,2,2,$420,none,2010-01-01,3169,SOUTH,420,2010,1
2193,"1/46 OAKES AVENUE, CLAYTON SOUTH",-37.935999,145.134164,2,1,1,$250,Unit/apmt,2010-09-01,3169,SOUTH,250,2010,9
2194,"1/46 OAKES AVENUE, CLAYTON SOUTH",-37.935999,145.134164,2,1,1,$250_Weekly,Unit/apmt,2010-09-01,3169,SOUTH,250,2010,9
2195,"1/46 OAKES AVENUE, CLAYTON SOUTH",-37.935999,145.134164,2,1,1,$250_p.w.,Unit/apmt,2010-09-01,3169,SOUTH,250,2010,9
2319,"1/16 BROWNING AVENUE, CLAYTON SOUTH",-37.937626,145.133325,2,1,1,$290,Unit/apmt,2010-01-01,3169,SOUTH,290,2010,1
2494,"3/44 OAKES AVENUE, CLAYTON SOUTH",-37.935969,145.133936,2,1,1,$250_Weekly,House,2010-12-01,3169,SOUTH,250,2010,12
2554,"13 SPRING VALLEY DRIVE, CLAYTON SOUTH",-37.947671,145.137097,3,2,2,$350,House,2010-10-01,3169,SOUTH,350,2010,10
2570,"1/14 MOORE AVENUE, CLAYTON SOUTH",-37.938438,145.135784,2,1,1,$250,Unit/apmt,2010-12-01,3169,SOUTH,250,2010,12
2571,"1/14 MOORE AVENUE, CLAYTON SOUTH",-37.938438,145.135784,2,1,1,$250_pw,Unit/apmt,2010-12-01,3169,SOUTH,250,2010,12
2656,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3,2,1,$430,House,2010-01-01,3169,SOUTH,430,2010,1
2779,"1 MELOSA AVENUE, CLAYTON SOUTH",-37.937284,145.114101,3,1,2,$320_per_week,House,2010-05-01,3169,SOUTH,320,2010,5
2780,"1 MELOSA AVENUE, CLAYTON SOUTH",-37.937284,145.114101,3,1,2,$320,House,2010-05-01,3169,SOUTH,320,2010,5
2853,"1/60 OAKES AVENUE, CLAYTON SOUTH",-37.93713,145.136159,3,2,2,$290_p.w.,Townhouse,2010-12-01,3169,SOUTH,290,2010,12
2854,"1/60 OAKES AVENUE, CLAYTON SOUTH",-37.93713,145.136159,3,2,2,$290,Townhouse,2010-12-01,3169,SOUTH,290,2010,12
2855,"1/60 OAKES AVENUE, CLAYTON SOUTH",-37.93713,145.136159,3,2,2,$290_Weekly,Townhouse,2010-12-01,3169,SOUTH,290,2010,12
2887,"5/30 MADELEINE ROAD, CLAYTON",-37.916743,145.120384,2,1,1,$280,Unit/apmt,2010-10-01,3168,CLAYTON,280,2010,10
2888,"5/30 MADELEINE ROAD, CLAYTON",-37.916743,145.120384,2,1,1,$280_Weekly,Unit/apmt,2010-10-01,3168,CLAYTON,280,2010,10
2915,"13 BROWNS ROAD, CLAYTON",-37.920978,145.127558,3,1,2,$420,House,2010-06-01,3168,CLAYTON,420,2010,6
2916,"13 BROWNS ROAD, CLAYTON",-37.920978,145.127558,3,1,2,$420_Weekly,House,2010-06-01,3168,CLAYTON,420,2010,6
2988,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3,2,2,$350_p.w.,Townhouse,2010-12-01,3168,CLAYTON,350,2010,12
2989,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3,2,2,$350,Townhouse,2010-12-01,3168,CLAYTON,350,2010,12
2990,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3,2,2,$350_Weekly,Townhouse,2010-12-01,3168,CLAYTON,350,2010,12
2991,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3,2,2,$360,Townhouse,2010-11-01,3168,CLAYTON,360,2010,11
2992,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3,2,2,$360_Weekly,Townhouse,2010-11-01,3168,CLAYTON,360,2010,11
3003,"4/10 PANORAMA STREET, CLAYTON",-37.918065,145.130143,3,1,1,$380,Townhouse,2010-12-01,3168,CLAYTON,380,2010,12
3004,"4/10 PANORAMA STREET, CLAYTON",-37.918065,145.130143,3,1,1,$380_Weekly,Townhouse,2010-12-01,3168,CLAYTON,380,2010,12
3005,"4/10 PANORAMA STREET, CLAYTON",-37.918065,145.130143,3,1,1,$380_p.w.,Townhouse,2010-12-01,3168,CLAYTON,380,2010,12
3120,"30/2 GREENFIELD DRIVE, CLAYTON",-37.923181,145.128623,2,1,1,$365,Unit,2010-09-01,3168,CLAYTON,365,2010,9
3121,"30/2 GREENFIELD DRIVE, CLAYTON",-37.923181,145.128623,2,1,1,$390,Unit,2010-03-01,3168,CLAYTON,390,2010,3
3133,"1/34 WELLINGTON ROAD, CLAYTON",-37.915779,145.133915,1,1,1,$240,Unit,2010-06-01,3168,CLAYTON,240,2010,6
3134,"1/34 WELLINGTON ROAD, CLAYTON",-37.915779,145.133915,1,1,1,$240,Unit,2010-05-01,3168,CLAYTON,240,2010,5
3135,"1/34 WELLINGTON ROAD, CLAYTON",-37.915779,145.133915,1,1,1,$240,Unit,2010-03-01,3168,CLAYTON,240,2010,3
3312,"33 ALICE STREET, CLAYTON",-37.917622,145.115287,4,2,1,$390_Weekly,House,2010-12-01,3168,CLAYTON,390,2010,12
3358,"10/2 MONASH GREEN DRIVE, CLAYTON",-37.918788,145.127626,2,1,1,$350,Unit,2010-12-01,3168,CLAYTON,350,2010,12
3359,"10/2 MONASH GREEN DRIVE, CLAYTON",-37.918788,145.127626,2,1,1,$370,Unit,2010-05-01,3168,CLAYTON,370,2010,5
3421,"71 CLAYTON ROAD, CLAYTON",-37.9139021,145.1218545,4,2,2,$310,House,2010-12-01,3168,CLAYTON,310,2010,12
3439,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3,1,2,$300,House,2010-10-01,3168,CLAYTON,300,2010,10
3440,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3,1,2,$330_per_week,House,2010-09-01,3168,CLAYTON,330,2010,9
3441,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3,1,2,$330,House,2010-09-01,3168,CLAYTON,330,2010,9
3442,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3,1,2,$330,House,2010-08-01,3168,CLAYTON,330,2010,8
3443,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3,1,2,$360_per_week,House,2010-05-01,3168,CLAYTON,360,2010,5
3618,"10 SHADY MEWS, CLAYTON",-37.922472,145.127818,3,1,1,$400,Townhouse,2010-06-01,3168,CLAYTON,400,2010,6
3619,"10 SHADY MEWS, CLAYTON",-37.922472,145.127818,3,1,1,$390,Townhouse,2010-06-01,3168,CLAYTON,390,2010,6
3788,"5/645 BLACKBURN ROAD, CLAYTON",-37.917981,145.139598,1,1,1,$220_p.w.,Unit,2010-07-01,3168,CLAYTON,220,2010,7
3945,"1/13 EVELYN STREET, CLAYTON",-37.918973,145.130798,6,2,1,$700,House,2010-05-01,3168,CLAYTON,700,2010,5
4103,"1953 DANDENONG ROAD, CLAYTON",-37.91327,145.126079,5,4,3,$350,Townhouse,2010-01-01,3168,CLAYTON,350,2010,1
4155,"1/67 MADELEINE ROAD, CLAYTON",-37.919718,145.118887,2,1,1,$310_pw,none,2010-08-01,3168,CLAYTON,310,2010,8
4349,"4/22 WRIGHT STREET, CLAYTON",-37.922062,145.124729,2,1,1,$280,House,2010-11-01,3168,CLAYTON,280,2010,11
4350,"4/22 WRIGHT STREET, CLAYTON",-37.922062,145.124729,2,1,1,$280_Weekly,House,2010-11-01,3168,CLAYTON,280,2010,11
4357,"3/21 FRANCIS STREET, CLAYTON",-37.924041,145.121709,2,1,1,$310,none,2010-08-01,3168,CLAYTON,310,2010,8
4358,"3/21 FRANCIS STREET, CLAYTON",-37.924041,145.121709,2,1,1,$310_Weekly,none,2010-08-01,3168,CLAYTON,310,2010,8
4369,"23 BRUSHBOX COURT, CLAYTON",-37.92356953,145.12906235,3,1,1,$420,Townhouse,2010-12-01,3168,CLAYTON,420,2010,12
4485,"13/9-11 BROWNS ROAD, CLAYTON",-37.918418,145.127927,2,1,1,$250,House,2010-04-01,3168,CLAYTON,250,2010,4
4486,"13/9-11 BROWNS ROAD, CLAYTON",-37.918418,145.127927,2,1,1,$250_Weekly,House,2010-04-01,3168,CLAYTON,250,2010,4
4520,"9 SHADY MEWS, CLAYTON",-37.922424,145.12782,2,1,2,$350_per_week,Rental_residential,2010-12-01,3168,CLAYTON,350,2010,12
4521,"9 SHADY MEWS, CLAYTON",-37.922424,145.12782,2,1,2,$370,Rental_residential,2010-12-01,3168,CLAYTON,370,2010,12
4522,"9 SHADY MEWS, CLAYTON",-37.922424,145.12782,2,1,2,$370_pw,Rental_residential,2010-12-01,3168,CLAYTON,370,2010,12
4655,"6/1-3 ARNOTT STREET, CLAYTON",-37.916516,145.134721,3,1,1,$410_pw,none,2010-01-01,3168,CLAYTON,410,2010,1
4703,"1/31 GLENBROOK AVE, CLAYTON",-37.909189,145.123384,3,1,2,$300,House,2010-10-01,3168,CLAYTON,300,2010,10
4704,"1/31 GLENBROOK AVE, CLAYTON",-37.909189,145.123384,3,1,2,$300_per_week,House,2010-10-01,3168,CLAYTON,300,2010,10
4771,"2B HOURIGAN AVENUE, CLAYTON",-37.917265,145.121913,3,2,2,$400,Townhouse,2010-01-01,3168,CLAYTON,400,2010,1
4910,"23 MCBEAN STREET, CLAYTON",-37.923718,145.111716,2,1,2,$350_per_week,Townhouse,2010-12-01,3168,CLAYTON,350,2010,12
4953,"18/1 MONASH GREEN DRIVE, CLAYTON",-37.922584,145.128255,2,1,1,$350,Unit/apmt,2010-06-01,3168,CLAYTON,350,2010,6
4954,"18/1 MONASH GREEN DRIVE, CLAYTON",-37.922584,145.128255,2,1,1,$360,Unit/apmt,2010-06-01,3168,CLAYTON,360,2010,6
4955,"18/1 MONASH GREEN DRIVE, CLAYTON",-37.922584,145.128255,2,1,1,$345,Unit/apmt,2010-06-01,3168,CLAYTON,345,2010,6
4956,"18/1 MONASH GREEN DRIVE, CLAYTON",-37.922584,145.128255,2,1,1,$340,Unit/apmt,2010-06-01,3168,CLAYTON,340,2010,6
4957,"18/1 MONASH GREEN DRIVE, CLAYTON",-37.922584,145.128255,2,1,1,$340,Unit/apmt,2010-05-01,3168,CLAYTON,340,2010,5
5009,"3/1450 NORTH ROAD, CLAYTON",-37.914333,145.120368,2,1,1,$280_pw,Rental_residential,2010-07-01,3168,CLAYTON,280,2010,7
5010,"3/1450 NORTH ROAD, CLAYTON",-37.914333,145.120368,2,1,1,$290_pw,Rental_residential,2010-06-01,3168,CLAYTON,290,2010,6
5195,"5/1 GREENFIELD DRIVE, CLAYTON",-37.923144,145.128169,1,1,1,$300_pw,Unit/apmt,2010-02-01,3168,CLAYTON,300,2010,2
5251,"33/2 GREENFIELD DRIVE, CLAYTON",-37.91529,145.12957,2,1,1,$300,Unit/apmt,2010-05-01,3168,CLAYTON,300,2010,5
5715,"2 BRUSHBOX COURT, CLAYTON",-37.925488,145.119662,3,1,2,$430,Townhouse,2010-07-01,3168,CLAYTON,430,2010,7
5737,"9/56-58 KANOOKA GROVE, CLAYTON",-37.921688,145.126396,3,1,1,$400_p.w.,House,2010-12-01,3168,CLAYTON,400,2010,12
5738,"9/56-58 KANOOKA GROVE, CLAYTON",-37.921688,145.126396,3,1,1,$400,House,2010-12-01,3168,CLAYTON,400,2010,12
5739,"9/56-58 KANOOKA GROVE, CLAYTON",-37.921688,145.126396,3,1,1,$400_pw,House,2010-12-01,3168,CLAYTON,400,2010,12
5749,"153B CARINISH ROAD, CLAYTON",-37.924677,145.121359,3,2,2,$400,Unit/apmt,2010-12-01,3168,CLAYTON,400,2010,12
5840,"1/74-76 BROWNS ROAD, CLAYTON",-37.924868,145.126121,2,1,1,$310,Unit/apmt,2010-06-01,3168,CLAYTON,310,2010,6
5841,"1/74-76 BROWNS ROAD, CLAYTON",-37.924868,145.126121,2,1,1,$310_Weekly,Unit/apmt,2010-06-01,3168,CLAYTON,310,2010,6
6049,"1/39 MADELEINE ROAD, CLAYTON",-37.917598,145.11945,3,1,1,$380,Unit/apmt,2010-02-01,3168,CLAYTON,380,2010,2
6108,"10 VICTOR ROAD, CLEMATIS",-37.929733,145.419864,5,2,0,$400_per_week,none,2010-09-01,3782,CLEMATIS,400,2010,9
6156,"6 VICTOR ROAD, CLEMATIS",-37.929987,145.420214,2,1,1,$300_per_week,none,2010-10-01,3782,CLEMATIS,300,2010,10
6195,"10 VICTOR RD, CLEMATIS",-37.929733,145.419864,5,2,0,$400_per_week,House,2010-08-01,3782,CLEMATIS,400,2010,8
6196,"10 VICTOR RD, CLEMATIS",-37.929733,145.419864,5,2,0,$400_per_week,House,2010-08-01,3782,CLEMATIS,400,2010,8
6197,"8A PARADISE AVENUE, CLEMATIS",-37.934181,145.419749,1,1,0,$170_pw,Unit/apmt,2010-07-01,3782,CLEMATIS,170,2010,7
6198,"8A PARADISE AVENUE, CLEMATIS",-37.934181,145.419749,1,1,0,$170_pw,Unit/apmt,2010-07-01,3782,CLEMATIS,170,2010,7
6271,"29 FENWICK STREET, CLIFTON HILL",-37.789226,144.999862,2,1,0,$440_pw,none,2010-01-01,3068,HILL,440,2010,1
6330,"70 NOONE STREET, CLIFTON HILL",-37.793407,144.992413,2,1,0,$365_pw,Rental_residential,2010-04-01,3068,HILL,365,2010,4
6514,"7/9 SOUTH TERRACE, CLIFTON HILL",-37.79235,144.99226,1,1,1,$240_pw,Unit/apmt,2010-07-01,3068,HILL,240,2010,7
6533,"2/57 CAROLINE STREET, CLIFTON HILL",-37.790209,145.00096,1,1,1,$210_pw,Rental_residential,2010-01-01,3068,HILL,210,2010,1
6550,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1,1,1,$260_p.w.,Rental_residential,2010-08-01,3068,HILL,260,2010,8
6551,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1,1,1,$260_pw,Rental_residential,2010-08-01,3068,HILL,260,2010,8
6552,"18/14 THE ESPLANADE, CLIFTON HILL",-37.788057,145.005844,1,1,1,$260,Rental_residential,2010-08-01,3068,HILL,260,2010,8
6571,"205 SPENSLEY STREET, CLIFTON HILL",-37.786573,145.004419,2,1,1,$495_pw,House,2010-04-01,3068,HILL,495,2010,4
6578,"19 GROOM STREET, CLIFTON HILL",-37.794371,144.998236,2,1,0,$450_pw,none,2010-01-01,3068,HILL,450,2010,1
6707,"11 DALLY STREET, CLIFTON HILL",-37.792519,144.999611,2,1,0,$470_pw,none,2010-11-01,3068,HILL,470,2010,11
6751,"53 DWYER STREET, CLIFTON HILL",-37.785982,145.001994,2,1,0,$500_pw,none,2010-03-01,3068,HILL,500,2010,3
6816,"6/37 YAMBLA STREET, CLIFTON HILL",-37.791488,145.000891,2,1,1,$365_per_week,Unit/apmt,2010-09-01,3068,HILL,365,2010,9
6904,"1 YAMBLA STREET, CLIFTON HILL",-37.792736,145.000619,2,1,1,$475_pw,none,2010-09-01,3068,HILL,475,2010,9
6905,"1 YAMBLA STREET, CLIFTON HILL",-37.792736,145.000619,2,1,1,$475_pw,none,2010-08-01,3068,HILL,475,2010,8
6919,"40 O GRADY STREET, CLIFTON HILL",-37.786837,144.998903,3,1,2,$700_pw,Rental_residential,2010-10-01,3068,HILL,700,2010,10
6920,"40 O GRADY STREET, CLIFTON HILL",-37.786837,144.998903,3,1,2,$700,Rental_residential,2010-10-01,3068,HILL,700,2010,10
6961,"16 COUNCIL STREET, CLIFTON HILL",-37.792331,144.986235,2,2,0,$570_pw,none,2010-09-01,3068,HILL,570,2010,9
6988,"16/16 THE ESPLANADE, CLIFTON HILL",-37.7879444,145.0061292,1,1,1,$275_pw,none,2010-06-01,3068,HILL,275,2010,6
7028,"32 YAMBLA STREET, CLIFTON HILL",-37.791828,145.001142,3,2,1,$700_pw,House,2010-08-01,3068,HILL,700,2010,8
7029,"32 YAMBLA STREET, CLIFTON HILL",-37.791828,145.001142,3,2,1,$700_pw,House,2010-07-01,3068,HILL,700,2010,7
7173,"30 WRIGHT STREET, CLIFTON HILL",-37.78906,145.00174,2,1,1,$500_pw,Rental_residential,2010-01-01,3068,HILL,500,2010,1
7356,"5/56 JOHN STREET, CLIFTON HILL",-37.78723145,144.99583435,1,1,1,$345_per_week,none,2010-10-01,3068,HILL,345,2010,10
7502,"1/211 GOLD STREET, CLIFTON HILL",-37.791306,144.990222,2,1,1,$395_per_week,none,2010-08-01,3068,HILL,395,2010,8
7755,"10 LACORRA COURT, CLIFTON SPRINGS",-38.151941,144.576798,4,2,1,$295_pw,Rental_residential,2010-12-01,3222,SPRINGS,295,2010,12
7916,"10 ALBERT STREET, CLUNES",-37.287198,143.78807,3,2,1,$180_Weekly,House,2010-02-01,3370,CLUNES,180,2010,2
8015,"6 CAMERON STREET, CLUNES",-37.292247,143.791814,2,1,2,$160,none,2010-09-01,3370,CLUNES,160,2010,9
8770,"107 COBAINS ESTATE ROAD, COBAINS",-38.0840691,147.1410804,3,2,0,$220_Weekly,House,2010-11-01,3851,COBAINS,220,2010,11
8771,"107 COBAINS ESTATE ROAD, COBAINS",-38.0840691,147.1410804,3,2,0,$220_Weekly,House,2010-11-01,3851,COBAINS,220,2010,11
8772,"263 BENGWORDEN ROAD, COBAINS",-38.071445,147.103421,3,1,3,$250_pw,House,2010-10-01,3851,COBAINS,250,2010,10
8773,"263 BENGWORDEN ROAD, COBAINS",-38.071445,147.103421,3,1,3,$250_pw,House,2010-10-01,3851,COBAINS,250,2010,10
8820,"2/86 CURDIE STREET, COBDEN",-38.327394,143.071066,2,1,1,$185_per_week,House,2010-11-01,3266,COBDEN,185,2010,11
8838,"74 WALKER STREET, COBDEN",-38.32536,143.080733,2,1,1,$170_per_week,House,2010-10-01,3266,COBDEN,170,2010,10
8889,"22 PARROTT STREET, COBDEN",-38.32951,143.076719,4,1,3,$220_per_week,House,2010-01-01,3266,COBDEN,220,2010,1
8981,"1 MITCHELL STREET, COBDEN",-38.3321,143.073485,4,1,2,$235_per_week,House,2010-10-01,3266,COBDEN,235,2010,10
9000,"1/84 PARROTT STREET, COBDEN",-38.328608,143.068643,3,1,1,$185_per_week,House,2010-10-01,3266,COBDEN,185,2010,10
9316,"28 VICTORIA COURT, COBUNGRA",-37.091318,147.444334,4,2,0,$350_per_week,House,2010-03-01,3898,COBUNGRA,350,2010,3
9379,"34 CLAREMONT STREET, COBURG NORTH",-37.732144,144.978717,3,1,2,$340_per_week,House,2010-06-01,3058,NORTH,340,2010,6
9380,"34 CLAREMONT STREET, COBURG NORTH",-37.732144,144.978717,3,1,2,$340_per_week,House,2010-05-01,3058,NORTH,340,2010,5
9511,"1/16 TONKIN AVENUE, COBURG NORTH",-37.720549,144.953335,2,1,1,$270_p.w.,House,2010-08-01,3058,NORTH,270,2010,8
9778,"9 RONALD STREET, COBURG NORTH",-37.730771,144.980626,3,1,0,$310_p.w.,Rental_residential,2010-03-01,3058,NORTH,310,2010,3
9850,"10/23 BAXTER STREET, COBURG",-37.746319,144.963475,1,1,1,$240_pw,none,2010-07-01,3058,COBURG,240,2010,7
9851,"10/23 BAXTER STREET, COBURG",-37.746319,144.963475,1,1,1,$220_pw,none,2010-01-01,3058,COBURG,220,2010,1
9899,"2/64 VICTORIA STREET, COBURG",-37.742205,144.958461,2,1,1,$300_per_week,none,2010-11-01,3058,COBURG,300,2010,11
9900,"2/64 VICTORIA STREET, COBURG",-37.742205,144.958461,2,1,1,$300_per_week,none,2010-10-01,3058,COBURG,300,2010,10
9901,"2/64 VICTORIA STREET, COBURG",-37.742205,144.958461,2,1,1,$330_pw,none,2010-01-01,3058,COBURG,330,2010,1
9907,"18/23 BAXTER STREET, COBURG",-37.746319,144.963475,2,1,1,$320_pw,none,2010-06-01,3058,COBURG,320,2010,6
9908,"18/23 BAXTER STREET, COBURG",-37.746319,144.963475,2,1,1,$320_pw,none,2010-05-01,3058,COBURG,320,2010,5
10002,"11/51 STOCKADE AVENUE, COBURG",-37.7383322,144.9702595,5,4,1,$450_pw,none,2010-07-01,3058,COBURG,450,2010,7
10024,"19 SAUNDERS STREET, COBURG",-37.752043,144.950572,3,1,1,$420_pw,House,2010-02-01,3058,COBURG,420,2010,2
10156,"2/48 THE GROVE, COBURG",-37.752217,144.971599,2,1,1,$290_p.w.,Villa,2010-09-01,3058,COBURG,290,2010,9
10185,"8/14 BELL STREET, COBURG",-37.7424804,144.9771819,2,1,1,$380_per_week,Unit/apmt,2010-10-01,3058,COBURG,380,2010,10
10209,"177 URQUHART STREET, COBURG",-37.741016,144.975769,3,2,1,$450_pw,House,2010-01-01,3058,COBURG,450,2010,1
10291,"6/1 THE GROVE, COBURG",-37.750961,144.965767,2,1,1,$320_p.w.,Townhouse,2010-11-01,3058,COBURG,320,2010,11
10292,"6/1 THE GROVE, COBURG",-37.750961,144.965767,2,1,1,$330,Townhouse,2010-11-01,3058,COBURG,330,2010,11
10293,"6/1 THE GROVE, COBURG",-37.750961,144.965767,2,1,1,$330_pw,Townhouse,2010-11-01,3058,COBURG,330,2010,11
10411,"49 SOUDAN STREET, COBURG",-37.739114,144.951791,3,1,1,$425_pw,none,2010-03-01,3058,COBURG,425,2010,3
10548,"14A HARDWICK STREET, COBURG",-37.749445,144.968678,2,1,0,$395_pw,House,2010-10-01,3058,COBURG,395,2010,10
10612,"80 SHAFTSBURY STREET, COBURG",-37.748313,144.955317,4,2,4,$520_pw,none,2010-08-01,3058,COBURG,520,2010,8
10635,"9 BEAUMONDE STREET, COBURG",-37.755099,144.978924,4,2,1,$500_p.w.,none,2010-06-01,3058,COBURG,500,2010,6
10636,"9 BEAUMONDE STREET, COBURG",-37.755099,144.978924,4,2,1,$500_p.w.,none,2010-05-01,3058,COBURG,500,2010,5
10781,"156 GORDON STREET, COBURG",-37.7430127,144.9495076,3,2,2,$495_per_week,House,2010-04-01,3058,COBURG,495,2010,4
10823,"46 DAVIS STREET, COBURG",-37.740319,144.951406,3,1,3,$400_pw,House,2010-12-01,3058,COBURG,400,2010,12
10824,"46 DAVIS STREET, COBURG",-37.740319,144.951406,3,1,3,$400,House,2010-12-01,3058,COBURG,400,2010,12
10846,"13 COLLINS STREET, COBURG",-37.737022,144.954334,3,1,2,$395_per_week,Rental_residential,2010-11-01,3058,COBURG,395,2010,11
10881,"2/56 THE AVENUE, COBURG",-37.752826,144.968178,2,2,1,$250_pw,none,2010-08-01,3058,COBURG,250,2010,8
10906,"114 SHAFTSBURY STREET, COBURG",-37.745519,144.955825,3,2,1,$450_per_week,none,2010-04-01,3058,COBURG,450,2010,4
11076,"17/23 BAXTER STREET, COBURG",-37.746319,144.963475,1,1,1,$250_pw,Unit/apmt,2010-05-01,3058,COBURG,250,2010,5
11094,"12/2 WOIWURUNG CRESCENT, COBURG",-37.736061,144.974012,2,2,1,$370_pw,Unit/apmt,2010-08-01,3058,COBURG,370,2010,8
11122,"11/40-50 STOCKADE AVENUE, COBURG",-37.737521,144.970247,2,1,1,$380_pw,Townhouse,2010-06-01,3058,COBURG,380,2010,6
11123,"11/40-50 STOCKADE AVENUE, COBURG",-37.737521,144.970247,2,1,1,$400_Weekly,Townhouse,2010-02-01,3058,COBURG,400,2010,2
11124,"11/40-50 STOCKADE AVENUE, COBURG",-37.737521,144.970247,2,1,1,$400_pw,Townhouse,2010-01-01,3058,COBURG,400,2010,1
11173,"39 FISCHER STREET, COBURG",-37.733824,144.953878,3,1,1,$400_per_week,House,2010-02-01,3058,COBURG,400,2010,2
11269,"69 CAMPBELL STREET, COBURG",-37.753608,144.969821,2,2,1,$450_pw,Rental_residential,2010-08-01,3058,COBURG,450,2010,8
11344,"41/14 BELL STREET, COBURG",-37.74239,144.977185,2,1,1,$390_p.w.,none,2010-03-01,3058,COBURG,390,2010,3
