,STATION,STATUS,STOPID_MTR,STID_VLINE,PREMIUM,METRO,VLINE,INTERSTATE,STOP_ZONE,COMMENTS,geometry,postcode,suburb
0,Dandenong,Active,19888,22250,Yes,Yes,Yes,No,"Reg, 2",Metro Interchange,POINT (145.20964487441773 -37.98992085547722),3175,DANDENONG
1,Darebin,Active,19932,,No,Yes,No,No,1,,POINT (145.03862792779512 -37.774802842342275),3079,IVANHOE
2,Darling,Active,19837,,Yes,Yes,No,No,"1, 2",,POINT (145.06267891336995 -37.86866984457693),3145,MALVERN EAST
3,Deer Park,Active,,19982,No,No,Yes,No,"Reg, 2",,POINT (144.77122097388494 -37.77750382414591),3023,DEER PARK
4,Dennis,Active,19929,,No,Yes,No,No,1,,POINT (145.00871193250416 -37.77917984031731),3070,NORTHCOTE
5,Diamond Creek,Active,19988,,No,Yes,No,No,2,,POINT (145.1587439181076 -37.67331584998733),3089,DIAMOND CREEK
6,Diggers Rest,Active,15353,,No,Yes,No,No,"Reg, 2",,POINT (144.72005099874698 -37.627734819764605),3427,DIGGERS REST
7,Dimboola,Active,,20617,No,No,No,Yes,,Interstate (Overland),POINT (142.03186056895814 -36.45304164635208),3414,DIMBOOLA
8,Dingee,Active,,20306,No,No,Yes,No,Reg,,POINT (144.23109821108312 -36.36897277940264),3571,DINGEE
9,Donnybrook,Active,,20307,No,No,Yes,No,2,,POINT (144.97016796483345 -37.54211983620334),3064,DONNYBROOK
10,Drouin,Active,,20308,No,No,Yes,No,"Reg, 6",,POINT (145.85578574497455 -38.136385902058585),3818,DROUIN
11,Eaglehawk,Active,,20309,No,No,Yes,No,"Reg, 13",,POINT (144.24840317313874 -36.71849878275808),3556,EAGLEHAWK
12,Eaglemont,Active,19934,,No,Yes,No,No,"1, 2",,POINT (145.05370892638604 -37.76375784330958),3079,IVANHOE
13,East Camberwell,Active,19892,,No,Yes,No,No,1,,POINT (145.06832991708262 -37.825745844699505),3124,CAMBERWELL
14,East Malvern,Active,19838,,Yes,Yes,No,No,"1, 2",,POINT (145.06933491131022 -37.87691184508573),3145,MALVERN EAST
15,East Richmond,Active,19907,,No,Yes,No,No,1,,POINT (144.99725992934688 -37.8264528398259),3121,CREMORNE
16,Echuca,Active,,20310,No,No,Yes,No,Reg,V/Line Terminus,POINT (144.75315314947375 -36.13109781251304),3564,ECHUCA
17,Edithvale,Active,19861,,No,Yes,No,No,2,,POINT (145.10853288676162 -38.03811984878184),3196,EDITHVALE
18,Elmore,Active,,20311,No,No,Yes,No,"Reg, 14",,POINT (144.60748413612782 -36.49488880507062),3558,ELMORE
19,Elsternwick,Active,19954,,Yes,Yes,No,No,1,,POINT (145.00092092234613 -37.884859840438466),3185,ELSTERNWICK
20,Eltham,Active,19987,,Yes,Yes,No,No,2,,POINT (145.14782891559727 -37.71346384948282),3095,ELTHAM
21,Epping,Active,20005,,Yes,Yes,No,No,2,,POINT (145.0320739422686 -37.65215284112975),3076,EPPING
22,Epsom,Active,,47642,No,No,Yes,No,"Reg, 13",,POINT (144.3210461622231 -36.7063287874401),3551,EPSOM
23,Essendon,Active,20037,22253,Yes,Yes,Yes,No,"Reg, 1",,POINT (144.91620395105397 -37.755994833850934),3040,ESSENDON
24,Euroa,Active,,20312,No,No,Yes,No,"Reg, 12",,POINT (145.56836294983654 -36.748895872812334),3666,EUROA
25,Fairfield,Active,19930,,No,Yes,No,No,1,,POINT (145.01680693110154 -37.77917284087217),3078,FAIRFIELD
26,Fawkner,Active,19962,,No,Yes,No,No,"1, 2",,POINT (144.96055594784588 -37.714668836621094),3046,HADFIELD
27,Ferntree Gully,Active,19868,,Yes,Yes,No,No,2,,POINT (145.29517687153313 -37.88157986075426),3156,FERNTREE GULLY
28,Flagstaff,Active,19841,,Yes,Yes,No,No,1,City Loop,POINT (144.95640693804327 -37.811716836939965),3003,WEST MELBOURNE
29,Flemington Bridge,Active,19971,,No,Yes,No,No,1,,POINT (144.9393279435665 -37.788123835627296),3051,NORTH MELBOURNE
