,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,postcode
42,2.0,2.0,1.0,,5008/639 Little lonsdale street Melbourne VIC 3000,-37.8141942,144.95216619999997,$750 per week,1.3584,3000
43,4.0,2.0,2.0,,241/538 Little Lonsdale Street Melbourne VIC 3000,-37.8136966,144.95320700000002,"$1,400 per week",1.2918,3000
44,2.0,2.0,,,4610/371 Little Lonsdale Street Melbourne VIC 3000,-37.8117708,144.96093019999998,$700/W Unfurnished,0.872,3000
45,2.0,2.0,,,2211/33 Rose Lane Melbourne VIC 3000,-37.8150137,144.9538694,$560 per week,1.188,3000
46,2.0,2.0,,,3711/157 Abeckett Street Melbourne VIC 3000,-37.809915600000004,144.9591846,$730 per week,1.1293,3000
47,2.0,2.0,,,2703/8 Exploration Lane Melbourne VIC 3000,-37.809112899999995,144.96845449999998,$530 per week,1.0084,3000
48,2.0,2.0,,,1104/23 Mackenzie Street Melbourne VIC 3000,-37.8075453,144.96732680000002,$650 per week,1.1734,3000
49,3.0,2.0,1.0,,7302/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,"$3,100 per week",1.2614,3000
50,3.0,2.0,,,3803/483 Swanston Street Melbourne VIC 3000,-37.8073886,144.96208700000003,"$2,000",1.2603,3000
51,4.0,4.0,3.0,,231/299 Queen Street Melbourne VIC 3000,-37.811418700000004,144.95879159999998,"$2,600.00",1.0231,3000
52,2.0,2.0,,,3403/371 Little Lonsdale Street Melbourne VIC 3000,-37.8117708,144.96093019999998,$650 per week,0.872,3000
53,3.0,2.0,1.0,,4313/560 Lonsdale Street Melbourne VIC 3000,-37.814031299999996,144.9556025,$900.00,1.0836,3000
54,2.0,2.0,,,302/60 A'Beckett Street Melbourne VIC 3000,-37.8087388,144.9614417,$590,1.1418,3000
55,2.0,2.0,1.0,,1011/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$600.00,1.2056,3000
56,2.0,2.0,1.0,,7/7 Drewery Lane Melbourne VIC 3000,-37.8110742,144.96390209999998,$680 per week,0.8205,3000
57,2.0,2.0,1.0,,1007/565 Flinders Street Melbourne VIC 3000,-37.8210586,144.95590719999998,$650 per week,1.0145,3000
58,2.0,2.0,1.0,,2802/160 Spencer Street Melbourne VIC 3000,-37.8172652,144.953648,$800 per week,1.161,3000
59,3.0,2.0,1.0,,6/410 Queen Street Melbourne VIC 3000,-37.8090899,144.9582169,$695 per week,1.2538,3000
60,2.0,2.0,,,3510/500 Elizabeth Street Melbourne VIC 3000,-37.807244299999994,144.9602814,$580 per week,1.3357,3000
61,2.0,2.0,1.0,,7910/228 La Trobe Street Melbourne VIC 3000,-37.809751399999996,144.9626141,$950 per week,0.9976,3000
62,2.0,2.0,1.0,,2910/118-134 ABeckett Street Melbourne VIC 3000,-37.809359,144.95973899999998,$650.00,1.1527,3000
63,2.0,2.0,1.0,,4407/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$620.00,1.2056,3000
64,2.0,2.0,,,1506/155 Franklin Street Melbourne VIC 3000,-37.808825899999995,144.95954880000002,$620 per week,1.2118,3000
65,2.0,2.0,,,2203/568 Collins Street Melbourne VIC 3000,-37.8183759,144.95543610000001,$550,1.0007,3000
66,3.0,2.0,,,1602/270 King Street Melbourne VIC 3000,-37.813751,144.95503169999998,$980 per week,1.1423,3000
67,2.0,2.0,1.0,,403/95 Berkeley Street Melbourne VIC 3000,-37.8033781,144.9587815,$650 per week,1.7822,3000
68,2.0,2.0,1.0,,3202/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$630.00,1.2056,3000
69,2.0,2.0,,,1406/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$680/week,1.2614,3000
70,2.0,2.0,,,1503/296 Little Lonsdale Street Melbourne VIC 3000,-37.8114904,144.9606243,$680,0.913,3000
71,2.0,2.0,1.0,,4402/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$670.00,1.2056,3000
72,3.0,2.0,,,53/33 Latrobe Street Melbourne VIC 3000,-37.8079055,144.9703589,$700.00,1.1746,3000
73,2.0,2.0,1.0,,925/555 Flinders Street Melbourne VIC 3000,-37.8209711,144.95648269999998,$500.00 per week,0.9635,3000
74,2.0,2.0,1.0,,4701/38 Rose Lane Melbourne VIC 3000,-37.814888399999994,144.9542283,$650.00,1.162,3000
75,2.0,2.0,,,2810/560 Lonsdale Street Melbourne VIC 3000,-37.814031299999996,144.9556025,$670.00,1.0836,3000
76,2.0,2.0,,,5612/370 Queen Street Melbourne VIC 3000,-37.8101314,144.9587648,$800/w Unfurnished,1.1327,3000
77,2.0,2.0,1.0,,2.01/15 Collins Street Melbourne VIC 3000,-37.8137378,144.97333480000003,$695pw,0.7501,3000
78,3.0,2.0,2.0,,1702/668 Bourke Street Melbourne VIC 3000,-37.8166152,144.95427890000002,$725.00,1.1139,3000
79,2.0,2.0,1.0,,5605/560 Lonsdale Street Melbourne VIC 3000,-37.814031299999996,144.9556025,$800.00,1.0836,3000
80,2.0,2.0,1.0,,3507/200 Spencer Street Melbourne VIC 3000,-37.816228,144.9532465,$640.00,1.2104,3000
81,2.0,2.0,,,3502/318 Russell Street Melbourne VIC 3000,-37.8091709,144.966801,$800 per week,0.9915,3000
82,2.0,2.0,1.0,,2313/220 Spencer Street Melbourne VIC 3000,-37.8157157,144.9529559,$675 per week,1.2464,3000
83,2.0,2.0,1.0,,305/594 St Kilda Road Melbourne VIC 3000,-37.849692600000004,144.9796418,$630 per week,3.6956,3000
84,2.0,2.0,,,4706/500 Elizabeth Street Melbourne VIC 3000,-37.807244299999994,144.9602814,$590 per week,1.3357,3000
85,2.0,2.0,,,1502/155 Franklin Street Melbourne VIC 3000,-37.808825899999995,144.95954880000002,$620 per week,1.2118,3000
86,2.0,2.0,1.0,,2605/560 Lonsdale Street Melbourne VIC 3000,-37.814031299999996,144.9556025,$770.00,1.0836,3000
87,2.0,2.0,,,4406/38 Rose Lane Melbourne VIC 3000,-37.814888399999994,144.9542283,$670 Fully Furnished pw,1.162,3000
88,2.0,2.0,1.0,,3508/80 A'Beckett Street Melbourne VIC 3000,-37.8089991,144.9610792,$620 per week,1.1293,3000
89,2.0,2.0,1.0,,804/95 Berkeley Street Melbourne VIC 3000,-37.8033781,144.9587815,$670.00,1.7822,3000
90,2.0,2.0,1.0,,2802/618 Lonsdale Street Melbourne VIC 3000,-37.8142509,144.9539845,$610.00,1.2056,3000
91,3.0,3.0,3.0,,251/350 St Kilda Road Melbourne VIC 3000,-37.831142,144.9708545,$2800 Per Week,1.4971,3000
92,2.0,2.0,2.0,,1010/7 Katherine Place Melbourne VIC 3000,-37.8201858,144.9564628,$680.00,0.9396,3000
93,3.0,2.0,1.0,,2607R/33 Rose Lane Melbourne VIC 3000,-37.8150137,144.9538694,$950 per week,1.188,3000
94,2.0,2.0,1.0,,1407/8 Sutherland Melbourne VIC 3000,-37.811316399999995,144.9609854,$620,0.9104,3000
95,2.0,2.0,,,3412/639 Lonsdale Street Melbourne VIC 3000,-37.8150689,144.9534096,$680,1.2251,3000
96,2.0,2.0,1.0,,5106/560 Lonsdale Street Melbourne VIC 3000,-37.814031299999996,144.9556025,$790.00,1.0836,3000
97,2.0,2.0,,,603/8 Exploration Lane Melbourne VIC 3000,-37.809112899999995,144.96845449999998,$530 per week,1.0084,3000
98,3.0,2.0,2.0,,2610/265 Exhibition Street Melbourne VIC 3000,-37.809597100000005,144.9692227,"$1,000.00 per week",0.9676,3000
99,3.0,2.0,,,260 Spencer St Melbourne VIC 3000,-37.814564000000004,144.95228559999998,"$1,000",1.3358,3000
100,2.0,2.0,2.0,,1201/54 A'beckett Street Melbourne VIC 3000,-37.808856799999994,144.96164480000002,$750,1.1225,3000
101,2.0,2.0,1.0,,3203/35 Spring Street Melbourne VIC 3000,-37.8141725,144.9740049,$1100 per week,0.7677,3000
102,3.0,2.0,1.0,,5310/500 Elizabeth Street Melbourne VIC 3000,-37.807244299999994,144.9602814,$950,1.3357,3000
103,2.0,2.0,1.0,,402/33 Rose Lane Melbourne VIC 3000,-37.8150137,144.9538694,$600,1.188,3000
104,3.0,2.0,1.0,,72/99 Spring Street Melbourne VIC 3000,-37.812531,144.97332600000001,UNDER APPLICATION,0.8424,3000
105,2.0,2.0,1.0,,909/565 Flinders Street Melbourne VIC 3000,-37.8210586,144.95590719999998,$550,1.0145,3000
106,2.0,2.0,1.0,,1305/151 Berkeley Street Melbourne VIC 3000,-37.8022049,144.9582151,$700 per week,1.9218,3000
107,2.0,2.0,1.0,,1419/555 St Kilda Road Melbourne VIC 3000,-37.84705170000001,144.98067450000002,$650 per week,3.4479,3000
108,2.0,2.0,,,2807/568 Collins Street Melbourne VIC 3000,-37.8183759,144.95543610000001,$550/week,1.0007,3000
109,2.0,2.0,,,2205/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$650/week,1.2614,3000
110,2.0,2.0,,,1110/371 Little Lonsdale Street Melbourne VIC 3000,-37.8117708,144.96093019999998,$650 per week,0.872,3000
111,2.0,2.0,1.0,,1003/29 Market Street Melbourne VIC 3000,-37.8186838,144.96041340000002,$800 per week,0.5665,3000
112,2.0,2.0,,,202/560 Lonsdale Street Melbourne VIC 3000,-37.814031299999996,144.9556025,$650.00,1.0836,3000
113,2.0,2.0,,,1612/560 Lonsdale Street Melbourne VIC 3000,-37.814031299999996,144.9556025,$660.00,1.0836,3000
114,3.0,2.0,2.0,,241/299 Queen Street Melbourne VIC 3000,-37.811475099999996,144.9586205,"$2,500 PW -TWO LEVELS",1.029,3000
115,2.0,2.0,2.0,,702/582 St Kilda Road Melbourne VIC 3000,-37.8493082,144.9794216,$750 PER WEEK,3.649,3000
116,2.0,2.0,,,2503/568 Collins Street Melbourne VIC 3000,-37.8183759,144.95543610000001,$550/week,1.0007,3000
117,2.0,2.0,1.0,,1316/555-557 St Kilda Road Melbourne VIC 3000,-37.84705170000001,144.98067450000002,$560 pw,3.4479,3000
118,2.0,2.0,,,3712/134-160 Spencer Street Melbourne VIC 3000,-37.8174166,144.95363830000002,$750 per week,1.1606,3000
119,3.0,2.0,4.0,,4203/35 Spring Street Melbourne VIC 3000,-37.8141725,144.9740049,$4500 Per Week,0.7677,3000
120,2.0,2.0,,,4916/228 La Trobe Street Melbourne VIC 3000,-37.809751399999996,144.9626141,$900/W Furnished,0.9976,3000
121,2.0,2.0,,,3817/228 La Trobe Street Melbourne VIC 3000,-37.80976879999999,144.9624585,$900/W Unfurnished,1.001,3000
122,2.0,2.0,,,6016/228 La Trobe Street Melbourne VIC 3000,-37.809761200000004,144.962455,$900/w Furnished,1.0019,3000
123,2.0,2.0,,,7305/228 La Trobe Street Melbourne VIC 3000,-37.809751399999996,144.9626141,$900/W Unfurnished,0.9976,3000
124,2.0,2.0,,,1101/8 Exploration Lane Melbourne VIC 3000,-37.809112899999995,144.96845449999998,$510 per week,1.0084,3000
125,2.0,2.0,,,1502/157 A'Beckett Street Melbourne VIC 3000,-37.809915600000004,144.9591846,$800/W Furnished,1.1293,3000
126,2.0,2.0,1.0,,1608/265 Exhibition Street Melbourne VIC 3000,-37.809597100000005,144.9692227,$600 per week,0.9676,3000
127,2.0,2.0,,,4416/228 La Trobe Street Melbourne VIC 3000,-37.809751399999996,144.9626141,$685 Per Week,0.9976,3000
128,2.0,2.0,,,325 Collins Street Melbourne VIC 3000,-37.816644200000006,144.9635498,$1200 pw Furnished,0.3281,3000
129,4.0,3.0,,,4/15-19 Anthony Street Melbourne VIC 3000,-37.809144,144.958903,"$1,500 per week",1.2135,3000
130,2.0,2.0,1.0,70.0,3811/639 Lonsdale Street Melbourne VIC 3000,-37.8148924,144.95360209999998,"$1,400",1.2144,3000
131,2.0,2.0,,,812/29-31 Market Street Melbourne VIC 3000,-37.818629,144.9604091,$530pw,0.5662,3000
132,3.0,2.0,1.0,,504/38 Rose Lane Melbourne VIC 3000,-37.8148892,144.95420380000002,"$1,099",1.164,3000
133,3.0,2.0,,,24/300 King St Melbourne VIC 3000,-37.8131524,144.9547736,"$1,099",1.1921,3000
134,2.0,2.0,,,8303/228 La Trobe Street Melbourne VIC 3000,-37.80976879999999,144.9624585,$900/W Furnished,1.001,3000
135,2.0,2.0,,,3815/228 La Trobe Street Melbourne VIC 3000,-37.80976879999999,144.9624585,$880/W Furnished,1.001,3000
136,2.0,2.0,,,803/199 William Street Melbourne VIC 3000,-37.8145838,144.9572687,$575 per week,0.9248,3000
137,2.0,2.0,1.0,,204/280 Albert Street East Melbourne VIC 3002,-37.8097936,144.98175030000002,Spectacular apartment at The Eastbourne,1.6052,3002
138,3.0,2.0,2.0,,38/400 Victoria Parade East Melbourne VIC 3002,-37.8095627,144.9848541,$770 per week,1.8484,3002
139,3.0,2.0,1.0,,7/126 Wellington Parade East Melbourne VIC 3002,-37.8162107,144.9859245,$1800 per week,1.6937,3002
140,2.0,2.0,1.0,,508/1 Powlett Street East Melbourne VIC 3002,-37.8161275,144.984988,$700 per week,1.6132,3002
141,2.0,2.0,2.0,,2/8 Wellington Crescent East Melbourne VIC 3002,-37.817223799999994,144.97767019999998,$750 per week,0.9597,3002
142,3.0,2.0,1.0,,506 Victoria Parade East Melbourne VIC 3002,-37.809934999999996,144.988228,$790 per week,2.0903,3002
143,3.0,2.0,2.0,,26/211 Wellington Parade South East Melbourne VIC 3002,-37.816431200000004,144.977452,$750,0.9536,3002
144,2.0,2.0,1.0,,304/280 Albert Street East Melbourne VIC 3002,-37.8097936,144.98175030000002,Your luxurious lifestyle awaits | $950 per week,1.6052,3002
145,3.0,2.0,2.0,,1302/1 Powlett Street East Melbourne VIC 3002,-37.8161275,144.984988,"$1,800.00 Per Week",1.6132,3002
146,3.0,2.0,2.0,,9/8 Wellington Crescent East Melbourne VIC 3002,-37.817223799999994,144.97767019999998,$780 per week,0.9597,3002
147,2.0,2.0,1.0,,17/102 Jolimont Road East Melbourne VIC 3002,-37.818195200000005,144.9789461,$750 per week,1.0673,3002
148,2.0,2.0,,,1314/58 Jeffcott Street West Melbourne VIC 3003,-37.811778000000004,144.95173219999998,$670.00,1.5,3003
149,2.0,2.0,1.0,,2606/105 Batman Street West Melbourne VIC 3003,-37.811420500000004,144.94974150000002,$560 per week,1.674,3003
150,2.0,2.0,1.0,,1703/23 Batman Street West Melbourne VIC 3003,-37.810874299999995,144.95236459999998,$680 weekly,1.5023,3003
151,3.0,2.0,1.0,,4/30 Dudley Street West Melbourne VIC 3003,-37.8083643,144.9544295,$630.00,1.5345,3003
152,2.0,2.0,1.0,,503/9 Dryburgh Street West Melbourne VIC 3003,-37.806619,144.9424148,$500,2.496,3003
153,2.0,2.0,1.0,,109/23 Batman Street West Melbourne VIC 3003,-37.810874299999995,144.95236459999998,$680/w &amp; Fully Furnished,1.5023,3003
154,2.0,2.0,1.0,,G1/9 Dryburgh Street West Melbourne VIC 3003,-37.806619,144.9424148,$600.00 Per Week,2.496,3003
155,3.0,2.0,1.0,,228 Adderley Street West Melbourne VIC 3003,-37.80806,144.944867,$900 pw,2.2288,3003
156,4.0,3.0,1.0,,9/220 Roden Street West Melbourne VIC 3003,-37.8095385,144.945096,"$910 to $1,000",2.1331,3003
157,2.0,2.0,1.0,,2303/105 Batman Street West Melbourne VIC 3003,-37.811420500000004,144.94974150000002,$600 per week,1.674,3003
158,2.0,2.0,1.0,,1712/105 Batman Street West Melbourne VIC 3003,-37.811420500000004,144.94974150000002,$600 per week,1.674,3003
159,2.0,2.0,1.0,,1008/105 Batman St West Melbourne VIC 3003,-37.811420500000004,144.94974150000002,$600 weekly,1.674,3003
160,2.0,2.0,1.0,,1205/112 Adderley Street West Melbourne VIC 3003,-37.81072460000001,144.9478918,$600 weekly,1.8541,3003
161,3.0,3.0,2.0,,2/63 Rosslyn Street West Melbourne VIC 3003,-37.8079901,144.95274550000002,$850 per week,1.6706,3003
162,2.0,2.0,1.0,,503/5 Wominjeka Walk West Melbourne VIC 3003,-37.810186200000004,144.9491858,$620,1.7815,3003
163,2.0,2.0,1.0,,703/130 Dudley St West Melbourne VIC 3003,-37.809552000000004,144.950835,610 per week,1.6954,3003
164,2.0,2.0,2.0,,303/250 St Kilda Road Melbourne VIC 3004,-37.8259165,144.97052480000002,$1395 Per Week,0.9317,3004
165,3.0,2.0,2.0,,22/1-29 Albert Road Melbourne VIC 3004,-37.833957,144.972793,$750.00,1.8442,3004
166,2.0,3.0,2.0,,113/350 St Kilda Road Melbourne VIC 3004,-37.831142,144.9708545,$1500 Per Week,1.4971,3004
167,3.0,2.0,1.0,104.0,503/8 Bowen Crescent Melbourne VIC 3004,-37.8354199,144.97257919999998,800,1.996,3004
168,2.0,2.0,1.0,,301/77 Queens Road Melbourne VIC 3004,-37.85271110000001,144.9797274,$540 per week,4.019,3004
169,2.0,2.0,2.0,,1201/55 Queens Road Melbourne VIC 3004,-37.8478901,144.97828169999997,"$1,100.00",3.4685,3004
170,2.0,2.0,1.0,,1312/35 Albert Rd Melbourne VIC 3004,-37.834695,144.9721117,$590,1.9076,3004
171,2.0,2.0,1.0,,1208/14 Queens Road Melbourne VIC 3004,-37.8389211,144.9749946,$720 per week,2.4292,3004
172,2.0,2.0,1.0,,203/8 Bowen Crescent Melbourne VIC 3004,-37.8354199,144.97257919999998,$620,1.996,3004
173,2.0,2.0,1.0,,1704/568 St Kilda Road Melbourne VIC 3004,-37.847162700000005,144.97874099999999,$675 Per Week,3.4033,3004
174,3.0,2.0,2.0,,1209/14 Queens Road Melbourne VIC 3004,-37.8389211,144.9749946,$1600 per week,2.4292,3004
175,1.0,8.0,1.0,,Carspace &amp; Cage/610 St Kilda Road Melbourne VIC 3004,-37.8520422,144.98033030000002,$70 per week,3.9632,3004
176,3.0,2.0,2.0,,2105/368 St Kilda Road Melbourne VIC 3004,-37.8318086,144.97102719999998,THE DEAL: UNDER OFFER,1.5728,3004
177,2.0,2.0,1.0,,19/73 Queens Road Melbourne VIC 3004,-37.8519051,144.97957380000003,$580 per week,3.9292,3004
178,2.0,2.0,1.0,,428/539 St Kilda Road Melbourne VIC 3004,-37.8456005,144.9794822,$1024pw - Stay 1 mth+,3.26,3004
179,2.0,2.0,2.0,,1306/582 St Kilda Road Melbourne VIC 3004,-37.8493082,144.9794216,$1100 per week,3.649,3004
180,2.0,2.0,1.0,,1317/35 Albert Road Melbourne VIC 3004,-37.834695,144.9721117,$650 weekly,1.9076,3004
181,3.0,2.0,2.0,,1604/250 St Kilda Road Melbourne VIC 3004,-37.8259165,144.97052480000002,"$1,600",0.9317,3004
182,2.0,2.0,1.0,,1101/605 St Kilda Road Melbourne VIC 3004,-37.85091269999999,144.9814593,$600 per week,3.8753,3004
183,3.0,3.0,2.0,,1801/572 St Kilda Road Melbourne VIC 3004,-37.8477661,144.97869509999998,"$1,300 per week",3.4661,3004
184,2.0,2.0,1.0,,1606/8 Bowen Crescent Melbourne VIC 3004,-37.8354199,144.97257919999998,$650 Per Week,1.996,3004
185,2.0,2.0,1.0,,802/35 Albert Road Melbourne VIC 3004,-37.834695,144.9721117,$575.00,1.9076,3004
186,2.0,2.0,2.0,,1501/601 St Kilda Road Melbourne VIC 3004,-37.8504751,144.981546,Whole floor penthouse - $1800 Per Week,3.832,3004
187,3.0,2.0,2.0,,801/12 Queens Road Melbourne VIC 3004,-37.8384194,144.9747126,$900.00,2.3686,3004
188,2.0,2.0,1.0,2320.0,715/568 St Kilda Road Melbourne VIC 3004,-37.847162700000005,144.97874099999999,$580 per week,3.4033,3004
189,3.0,2.0,1.0,,478 St Kilda Road Melbourne VIC 3004,-37.8425885,144.9770385,$800,2.8728,3004
190,2.0,2.0,1.0,,909/450 St Kilda Road Melbourne VIC 3004,-37.8387716,144.975576,$600/week,2.4291,3004
191,2.0,2.0,1.0,,709/14 Queens Road Melbourne VIC 3004,-37.8389211,144.9749946,$850 Per Week Fully Furnished,2.4292,3004
192,3.0,2.0,2.0,,233/416 St Kilda Road Melbourne VIC 3004,-37.8355104,144.97461299999998,$760.00,2.0582,3004
193,2.0,2.0,2.0,,321/499 St Kilda Road Melbourne VIC 3004,-37.8431328,144.97934080000002,$1299 per week (Fully furnished),2.9987,3004
194,3.0,2.0,2.0,,803/430 St Kilda Road Melbourne VIC 3004,-37.837123,144.9751256,$1400.00 per week,2.2426,3004
195,3.0,2.0,2.0,,1522/555 St Kilda Road Melbourne VIC 3004,-37.84705170000001,144.98067450000002,$1400 per week,3.4479,3004
196,2.0,2.0,1.0,,5E/635 St Kilda Rd Melbourne VIC 3004,-37.854087,144.9824809,$750,4.2386,3004
197,3.0,2.0,1.0,,172/418 St Kilda Road Melbourne VIC 3004,-37.8358416,144.9747364,$700.00,2.0966,3004
198,2.0,2.0,1.0,,611/35 Albert Road Melbourne VIC 3004,-37.834695,144.9721117,$600/week,1.9076,3004
199,2.0,2.0,1.0,,1219/555 St Kilda Road Melbourne VIC 3004,-37.84705170000001,144.98067450000002,$650 per week,3.4479,3004
200,2.0,2.0,2.0,,603/469 St Kilda Road Melbourne VIC 3004,-37.8414584,144.9779051,$1100 Per Week,2.7794,3004
201,3.0,3.0,2.0,,12A/635-643 St Kilda Road Melbourne VIC 3004,-37.8543122,144.98260109999998,"$1,500.00",4.2657,3004
202,3.0,2.0,2.0,,809/576 St Kilda Rd Melbourne VIC 3004,-37.848521500000004,144.97914619999997,"$1,400",3.5582,3004
203,2.0,2.0,1.0,,711/20 Queens Road Melbourne VIC 3004,-37.8406236,144.97522709999998,$600 per week,2.6165,3004
204,3.0,2.0,2.0,,205/250 St Kilda Road Melbourne VIC 3004,-37.825918200000004,144.970146,"$1,350",0.9207,3004
205,2.0,2.0,1.0,,111/555 St Kilda Road Melbourne VIC 3004,-37.84705170000001,144.98067450000002,$600 per week,3.4479,3004
206,3.0,2.0,2.0,,1307/14 Queens Road Melbourne VIC 3004,-37.8389211,144.9749946,$1750 per week,2.4292,3004
207,3.0,2.0,2.0,,1906/12 Queens Rd Melbourne VIC 3004,-37.8384194,144.9747126,"$1,650.00",2.3686,3004
208,2.0,2.0,2.0,,321/9 Commercial Road Melbourne VIC 3004,-37.8457061,144.9861842,$550.00,3.5157,3004
209,2.0,2.0,1.0,,1909/151 City Road Southbank VIC 3006,-37.8236674,144.9631638,$600.00,0.6999,3006
