facility,latitude,longitude,year,facility_type
ST ANNES RESERVE,-38.316030071024,144.344959991281,2017,park
JAN JUC CREEK RESERVE,-38.3451300813917,144.302229992789,2017,park
BARCLAY PARK ,-37.7142400013817,145.102819975291,2017,park
DESTINATION PARK,-37.6147400011694,144.889719970863,2017,park
MILDURA SKATE PARK,-34.1843400233259,142.166359987948,2017,park
HARMONY SQUARE,-37.9885099967375,145.213519979898,2017,park
JACK GREVILLE PARK,-37.578419995354,143.864629992765,2017,park
JOHN MCMAHON RESERVE,-37.574229994954,144.757459997994,2017,park
TRUSCOTT RESERVE,-37.7096300008859,144.935600009708,2017,park
MAYFIELD PARK,-37.991959992035,145.101829974018,2017,park
BOB PETTITT RESERVE,-38.3483700858732,144.294029983903,2017,park
BURT-KUR-MIN RESERVE,-37.5965100016657,144.898679971278,2017,park
JOHN VANDELOO RESERVE,-37.7158200028576,144.919959995745,2017,park
FIDDLERS GREEN,-38.3837599828336,142.237429963242,2017,park
Douglas Maggs Reserve,-37.7880399976085,145.258339988279,2017,park
DORSET GOLF,-37.805409998627,145.300129979119,2017,park
THOMAS MILLETT PARK,-37.5979099997666,144.707979977003,2017,park
JUNCTION SQUARE,-36.1200799446383,146.88733007879,2017,park
RINGWOOD GOLF,-37.8349999963911,145.222229977354,2017,park
NOWINGI PLACE,-34.1852000205282,142.169829973346,2017,park
BILL MINNS ROTUNDA,-38.0284099963861,145.348489968893,2017,park
NICOLA DAVIS CONSERVATION RESERVE,-37.632070000015,145.075880006897,2017,park
WANGARATTA LIONS PARK,-36.3598999842053,146.313849970308,2017,park
REMEMBRANCE PARK,-37.9556199972491,145.551949981602,2017,park
CRAIGIEBURN ANZAC PARK,-37.5885300016001,144.913129981648,2017,park
KESTLE PARK,-38.1502199970364,145.909749986939,2017,park
SCOTT PARK,-38.04279999631,145.260109967733,2017,park
EDITHVALE PUBLIC GOLF COURSE,-38.035999995738,145.122579981538,2017,park
NAPTHINE RESERVE,-38.2366700502298,143.986869970135,2017,park
BARWON RIVER RESERVE,-38.2397300504132,143.989429975364,2017,park
MATHISON RESERVE,-38.244520051631,143.992359993349,2017,park
GUYE RESERVE,-38.2435100516905,143.993379994272,2017,park
CWA PARK,-38.241740050446,143.989749980099,2017,park
PLATYPUS RESERVE,-38.2403700503939,143.989069977362,2017,park
LIONS PARK,-38.2424400505352,143.991069984793,2017,park
WINCHELSEA CRICKET GROUND,-38.2421000502004,143.985899983745,2017,park
BENNETT RESERVE,-38.236050049356,143.988889966841,2017,park
HESSE STREET RESERVE,-38.2416700502093,143.986079982758,2017,park
THOMAS OVAL,-37.8324999994391,145.005659981229,2017,park
GREENWOOD RESERVE,-37.7082700012679,145.072659975156,2017,park
JUBILEE PARK / WURRUMBIT BIRRNG YAAR,-38.3162999835775,142.482869934443,2017,park
RADIO PARK,-37.7363899988615,145.093269984524,2017,park
SEAVIEW RESERVE,-38.3411900799108,144.295269988443,2017,park
MCCORMACK PARK,-37.1007200057126,146.26975999829,2017,park
JENSEN PARK,-37.7894399980623,144.901580005974,2017,park
JOHNSON RESERVE,-37.7920700012639,144.874910015319,2017,park
MARTIN RESERVE,-37.794000001403,144.876780006786,2017,park
YARRAVILLE OVAL,-37.815560000978,144.88326999133,2017,park
NEWELLS PADDOCK WETLAND PARK,-37.7970699999502,144.913919982007,2017,park
FROGS HOLLOW WETLAND,-37.7793500006069,144.895809986066,2017,park
ASH RESERVE,-37.7810900007582,144.853749974176,2017,park
BEATON RESERVE,-37.8173400001822,144.886109990644,2017,park
BARRETT RESERVE,-37.7954900006475,144.880239998024,2017,park
MCIVOR RESERVE,-37.8215100011037,144.869869986015,2017,park
VIN HEFFERNAN PARK,-37.7453700010143,145.051069970847,2017,park
DES LEONARD OVAL,-37.2961599986865,144.252869971654,2017,park
SCHOROBURA PARK,-36.1406499483291,146.947080001785,2017,park
BRANKO PALAVESTRA PARK,-36.1380499448914,146.889109985424,2017,park
MCLEAN PARK,-36.1421199315379,146.897249995642,2017,park
VERONICA EGAN PARK,-36.1493799705956,146.871109983014,2017,park
JIM COSTELLOE PARK,-36.1161999715414,146.873250098505,2017,park
COMMUNITY GROW AND PLAY GARDENS,-38.3713299974465,144.825119985103,2017,park
MAIDSTONE PARK,-37.788490001292,144.875650023577,2017,park
MOONAH PARK,-38.4119302633956,144.189099929877,2017,park
MARGARET HEATHORN PARK,-37.7567200002358,145.038709953751,2017,park
DAVID COOPER PARK,-37.8729899968643,145.225649973565,2017,park
BAYVIEW PARK,-38.0013499988544,145.328969977323,2017,park
